i,j,transition_expression_scenario_0
1,1,1-A-2*p
1,2,A
1,10,p
1,11,p
2,2,1-5*p
2,3,p
2,4,p
2,5,p
2,6,p
2,7,p
3,3,1-2*p
3,8,p
3,9,p
4,4,1-2*p
4,8,p
4,9,p
5,5,1-2*p
5,8,p
5,9,p
6,6,1-2*p
6,8,p
6,9,p
7,7,1-2*p
7,8,p
7,9,p
8,8,1
9,9,1-1*p
9,13,p
10,10,1
11,11,1-2*p
11,12,p
11,13,p
12,12,1
13,13,1-1*p
13,14,p
14,14,1-5*p
14,15,p
14,16,p
14,17,p
14,18,p
14,19,p
15,15,1-1*p
15,20,p
16,16,1-1*p
16,20,p
17,17,1-1*p
17,21,p
18,18,1-1*p
18,21,p
19,19,1-1*p
19,21,p
20,20,1-1*p
20,22,p
21,21,1-1*p
21,22,p
22,22,1-3*p
22,23,p
22,24,p
22,25,p
23,23,1
24,24,1-1*p
24,27,p
25,25,1-2*p
25,26,p
25,27,p
26,26,1
27,27,1-1*p
27,28,p
28,28,1-2*p
28,27,p
28,29,p
29,29,1-3*p
29,28,p
29,30,p
29,32,p
30,30,1-2*p
30,29,p
30,31,p
31,31,1-1*p
31,30,p
32,32,1